emp_no,salary,from_date,to_date
10001,60117,1986-06-26,1987-06-26
10001,62102,1987-06-26,1988-06-25
10001,66074,1988-06-25,1989-06-25
10001,66596,1989-06-25,1990-06-25
10001,66961,1990-06-25,1991-06-25
10001,71046,1991-06-25,1992-06-24
10001,74333,1992-06-24,1993-06-24
10001,75286,1993-06-24,1994-06-24
10001,75994,1994-06-24,1995-06-24
10001,76884,1995-06-24,1996-06-23
10001,80013,1996-06-23,1997-06-23
10001,81025,1997-06-23,1998-06-23
10001,81097,1998-06-23,1999-06-23
10001,84917,1999-06-23,2000-06-22
10001,85112,2000-06-22,2001-06-22
10001,85097,2001-06-22,2002-06-22
10001,88958,2002-06-22,9999-01-01
10002,65828,1996-08-03,1997-08-03
10002,65909,1997-08-03,1998-08-03
10002,67534,1998-08-03,1999-08-03
10002,69366,1999-08-03,2000-08-02
10002,71963,2000-08-02,2001-08-02
10002,72527,2001-08-02,9999-01-01
10003,40006,1995-12-03,1996-12-02
10003,43616,1996-12-02,1997-12-02
10003,43466,1997-12-02,1998-12-02
10003,43636,1998-12-02,1999-12-02
10003,43478,1999-12-02,2000-12-01
10003,43699,2000-12-01,2001-12-01
10003,43311,2001-12-01,9999-01-01
100013,81806,1986-04-10,1987-04-10
100013,83917,1987-04-10,1988-04-09
100013,85277,1988-04-09,1989-04-09
100013,88113,1989-04-09,1990-04-09
100013,90042,1990-04-09,1991-04-09
100013,90421,1991-04-09,1992-04-08
100013,94208,1992-04-08,1993-04-08
100013,95705,1993-04-08,1994-04-08
100013,99914,1994-04-08,1995-04-08
100013,103399,1995-04-08,1996-04-06
100013,106161,1996-04-06,1997-04-07
100013,109186,1997-04-07,1998-04-07
100013,109154,1998-04-07,1999-04-07
100013,111720,1999-04-07,2000-04-06
100013,113578,2000-04-06,2001-04-06
100013,117577,2001-04-06,2002-04-05
100013,119088,2002-04-05,9999-01-01
100014,40000,1990-03-25,1991-03-25
100014,42401,1991-03-25,1992-03-24
100014,43810,1992-03-24,1993-03-24
100014,47622,1993-03-24,1994-03-24
100014,51521,1994-03-24,1995-03-24
100014,55314,1995-03-24,1996-03-23
100014,56353,1996-03-23,1997-03-23
100014,56020,1997-03-23,1998-03-23
