emp_no,salary,from_date,to_date
43624,151115,1998-03-23,1999-03-23
43624,153166,1999-03-23,2000-03-22
43624,153458,2000-03-22,2001-03-22
43624,157821,2001-03-22,2002-03-22
43624,158220,2002-03-22,9999-01-01
46439,150345,2002-05-15,9999-01-01
47978,151929,2001-07-14,2002-07-14
47978,155709,2002-07-14,9999-01-01
66793,150052,2002-06-16,9999-01-01
80823,151768,2001-02-22,2002-02-22
80823,154459,2002-02-22,9999-01-01
109334,151484,1998-02-12,1999-02-12
109334,154885,1999-02-12,2000-02-12
109334,155377,2000-02-12,2001-02-11
109334,154888,2001-02-11,2002-02-11
109334,155190,2002-02-11,9999-01-01
